Geneid	Start	End	gene_name	4GC00A11	4GC00A12	4GC00A13	4GC02A11	4GC02A12	4GC02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M_plus	Log2fold	Obs_log(1/p)	GalNAc_gene	YmN
gene-b3366	3496551	3496877	nirD	22.86977185	19.8987375	30.57478446	30.65052798	12.28402886	13.22758312	76.30509027	-0.383989981	0.301089397	-1.27533545	0.202190535	1	24.4477646	18.72071332	-0.38506715	0.351683737	FALSE	FALSE
gene-b1651	1727837	1728244	gloA	161.3444134	126.4046707	160.6814119	137.8738502	140.9106821	110.7858717	757.2453082	-0.20451888	0.160467533	-1.274518752	0.202479631	1	149.476832	129.8568013	-0.203000315	0.583680199	FALSE	FALSE
gene-b1521	1609229	1610680	uxaB	319.3262771	276.0165634	468.9123297	407.9496616	256.1554719	191.9181562	2320.073649	-0.314056996	0.246470622	-1.274216753	0.20258661	1	354.7517234	285.3410966	-0.314122145	0.329553904	FALSE	FALSE
gene-b4036	4247971	4249311	lamB	229.5415888	288.4401883	97.45529332	120.7061676	177.760306	162.2435569	951.5517815	-0.418063919	0.328096476	-1.274210331	0.202588885	1	205.1456901	153.5700102	-0.417752338	0.365301913	FALSE	FALSE
gene-b3434	3575071	3575664	yhgN	38.70236174	53.96034372	41.35758002	33.95745679	40.78584519	43.14496902	310.3198466	-0.179444979	0.141012486	-1.27254674	0.203178928	1	44.67342849	39.29609033	-0.185031197	0.420306297	FALSE	FALSE
gene-b1294	1355467	1357110	sapA	65.76270182	80.55182698	82.44750467	89.6954422	87.27362588	75.05024108	1401.952654	0.141423335	0.111211655	1.271659289	0.203494201	1	76.25401116	84.00643639	0.139686639	0.484933059	FALSE	TRUE
gene-b1786	1872041	1873531	dgcJ	22.97316501	20.04257665	26.43897142	23.35946426	24.162555	31.62110966	510.1845357	0.193629611	0.152295558	1.271406821	0.203583957	1	23.15157103	26.38104297	0.188391507	0.429499973	FALSE	TRUE
gene-b3231	3378223	3378651	rplM	655.1065198	459.5211689	481.0870556	473.392582	354.6369066	486.4836818	3330.293226	-0.280055766	0.220282658	-1.271347314	0.203605117	1	531.9049148	438.1710568	-0.279674177	0.555473581	FALSE	FALSE
gene-b3866	4051347	4051856	yihI	141.9287744	145.0700333	114.5423921	152.3060795	157.032341	136.7595928	793.0512075	0.147399433	0.115982624	1.27087514	0.203773072	1	133.8470666	148.6993378	0.151812701	0.576853297	FALSE	TRUE
gene-b1285	1344757	1346742	pdeR	103.4833505	96.65315775	90.9035715	123.8961939	131.342386	81.18329231	2083.85172	0.208094668	0.163775563	1.270608773	0.203867865	1	97.01335992	112.1406241	0.209053661	0.398859189	FALSE	TRUE
gene-b1531	1619574	1619957	marA	41.5948387	38.91078357	47.98125494	46.00273091	34.32390388	25.06265309	200.8678202	-0.287819853	0.226841296	-1.268815944	0.204506717	1	42.82895907	35.12976263	-0.285892786	0.508599475	FALSE	FALSE
gene-b4409	1704551	1704676	blr	447.7083878	380.6203837	384.2751226	360.9373335	323.7810434	334.7050942	280.4640271	-0.25184331	0.198685927	-1.267544779	0.204960563	1	404.201298	339.8078237	-0.250354885	1.238774454	FALSE	FALSE
gene-b4002	4201263	4201688	zraP	161.245611	168.583931	104.941642	135.8714162	198.6044155	224.1399986	10514.9663	0.360727551	0.284776463	1.266704229	0.205261067	1	144.923728	186.2052768	0.361600134	0.553367762	FALSE	TRUE
gene-b2206	2300267	2302753	napA	26.28342988	16.71563293	27.39401634	23.02163375	19.73511105	16.00074831	561.0692251	-0.261597386	0.206688113	-1.265662465	0.205633952	1	23.46435972	19.58583104	-0.26066075	0.418234029	FALSE	FALSE
gene-b3151	3297098	3298138	yraQ	28.73550583	38.42968901	40.33756866	28.04147908	34.00454602	31.89010186	606.6426626	-0.187253803	0.148020224	-1.265055536	0.20585142	1	35.8342545	31.31204232	-0.19462173	0.4938335	FALSE	FALSE
gene-b3339	3470145	3471329	tufA	369.9277626	296.007947	382.8029361	368.0284551	266.0969441	218.2785627	3898.991649	-0.299172453	0.236531074	-1.264833613	0.205930979	1	349.5795486	284.134654	-0.299045987	0.560794593	FALSE	FALSE
gene-b3348	3477640	3477858	slyX	143.337349	166.1660683	132.393005	188.2120863	205.2000745	136.280346	306.9444976	0.259110391	0.205262696	1.26233552	0.206828081	1	147.2988074	176.5641689	0.261446849	0.5653433	FALSE	TRUE
gene-b3416	3547986	3550070	malQ	40.82718414	37.10295371	35.68985477	34.55075254	35.03930858	29.35476665	611.2390354	-0.20141094	0.159577128	-1.262154187	0.20689331	1	37.87333087	32.98160926	-0.199520515	0.963209405	FALSE	FALSE
gene-b2499	2621197	2622234	purM	12.00773185	15.43952031	16.51189846	13.51812303	19.83284862	17.6058749	203.367244	0.224839067	0.178190616	1.261789606	0.207024503	1	14.65305021	16.98561552	0.213112489	0.435541228	FALSE	TRUE
gene-b1854	1937649	1939091	pykA	281.8409846	193.1473782	258.0404656	253.8672993	192.3361922	153.3980264	3753.048204	-0.290150195	0.229992191	-1.261565421	0.207105205	1	244.3429428	199.8671726	-0.289865902	0.491027946	FALSE	FALSE
gene-b2540	2670908	2671228	hcaC	3.163823289	3.753828985	2.224733983	0.780585876	2.737358066	2.358094841	17.87081714	-0.645271501	0.511698728	-1.261037921	0.207295185	1	3.047462086	1.958679594	-0.637726855	0.660690392	FALSE	FALSE
gene-b1124	1182826	1183620	potC	22.52989497	18.49150323	24.61311355	15.75899788	23.52652272	17.27447482	245.1912485	-0.214643725	0.170222543	-1.260959454	0.207323456	1	21.87817058	18.85333181	-0.214672605	0.43476362	FALSE	FALSE
gene-b1669	1748747	1749559	ydhT	22.37176488	43.27846229	40.75778331	42.06954618	42.92327519	43.09458721	353.5540805	0.274347259	0.217801219	1.259622238	0.207805669	1	35.46933683	42.69580286	0.267521899	0.475156889	FALSE	TRUE
gene-b0324	341125	342507	yahJ	17.22352706	24.74432868	21.17116699	25.90833946	25.32331898	21.4238068	275.469941	0.205673815	0.163324419	1.259296169	0.207923377	1	21.04634091	24.21848841	0.202539393	0.541270992	FALSE	TRUE
gene-b3289	3435207	3436496	rsmB	28.05568795	28.6766345	31.77644459	28.74734403	25.20279206	51.63679307	522.4407283	0.258650154	0.205549692	1.258333937	0.208271013	1	29.50292235	35.19564305	0.254538981	0.272907115	FALSE	TRUE
gene-b2534	2664390	2665244	yfhR	9.394587239	8.596926942	8.853660642	10.40370334	11.01117718	10.37088929	148.8514906	0.238821462	0.190059081	1.256564331	0.208911437	1	8.948391608	10.5952566	0.243718229	2.199260502	FALSE	TRUE
gene-b1717	1799802	1799999	rpmI	4165.866263	4090.234626	4367.793262	3886.336017	3720.176262	3007.040499	5535.831358	-0.250288592	0.199213439	-1.256384073	0.208976753	1	4207.964717	3537.850926	-0.250249349	1.116932607	FALSE	FALSE
gene-b3104	3252911	3253267	yhaI	4.913714856	4.725408252	4.800938544	8.071520341	7.032348454	5.149309142	40.42909438	0.477487102	0.380103177	1.256203922	0.209042045	1	4.813353884	6.751059312	0.488071398	1.062622923	FALSE	TRUE
gene-b3061	3206463	3207374	ttdA	3.340747617	2.510373134	3.445410391	2.47271118	3.16571344	1.304265802	46.61547476	-0.440363754	0.350673177	-1.25576686	0.20920051	1	3.098843714	2.314230141	-0.421197655	0.563233608	FALSE	FALSE
gene-b3309	3447453	3447767	rplX	1100.292823	934.5282386	892.334444	911.5904886	727.2620359	859.2480521	3689.54896	-0.228983703	0.182389878	-1.255462776	0.209310813	1	975.7185019	832.7001922	-0.228667828	0.786791029	FALSE	FALSE
gene-b2127	2214866	2215597	mlrA	116.6689307	127.0824957	123.3159105	130.2474716	138.9032925	145.8056429	902.6324645	0.177775407	0.141924223	1.252607928	0.210348428	1	122.355779	138.3188023	0.176915039	1.371806567	FALSE	TRUE
gene-b0855	894991	896124	potG	12.53811451	7.119365078	7.934884538	9.611737991	11.29082613	13.82684862	115.1000007	0.321793302	0.256898731	1.252607596	0.210348549	1	9.197454709	11.57647091	0.331888943	0.498258971	FALSE	TRUE
gene-b2263	2376834	2377592	menH	5.352238607	3.33393428	2.258148959	3.466356648	2.480779049	2.564478071	44.83423053	-0.41705793	0.333001717	-1.25241976	0.21041695	1	3.648107282	2.837204589	-0.36267797	0.350726969	FALSE	FALSE
gene-b4427	1437121	1437229	micC	0.847028587	3.31645625	1.310347905	1.149394799	3.454883116	6.944481136	3.962819322	1.15193017	0.919790441	1.252383281	0.210430236	1	1.824610914	3.84958635	1.07711458	0.475574659	FALSE	TRUE
gene-b3861	4044199	4045629	yihF	6.968008752	9.683619635	7.884979604	8.317248879	11.0527288	9.37023131	211.1061848	0.233567198	0.186748267	1.250706109	0.211041721	1	8.17886933	9.580069663	0.228134732	0.550141614	FALSE	TRUE
gene-b4187	4414275	4415900	aidB	198.9042954	177.1897317	190.525069	204.4918966	269.7372725	194.7901943	3130.388592	0.239479864	0.191521167	1.250409379	0.21115004	1	188.873032	223.0064545	0.239668743	0.631004177	FALSE	TRUE
gene-b0992	1052289	1053362	yccM	11.60523804	11.33174018	15.82544011	12.01513539	10.63593595	9.665742299	188.4223877	-0.255518324	0.204409193	-1.250033426	0.211287337	1	12.92080611	10.77227121	-0.262373622	0.598573173	FALSE	FALSE
gene-b4679	2228982	2229065	yohP	164.8680642	117.6289126	47.60930723	83.52268875	92.65119088	70.8030007	63.34307532	-0.436422754	0.349240021	-1.249635573	0.211432702	1	110.035428	82.32562678	-0.418554606	0.329167051	FALSE	FALSE
gene-b3058	3204221	3204589	folB	16.51361424	16.00107754	11.22495861	12.56235562	21.091328	21.09960819	110.1123715	0.312206704	0.250080112	1.248426763	0.211874813	1	14.57988346	18.25109727	0.324004014	0.482825358	FALSE	TRUE
gene-b3531	3689155	3690261	bcsZ	3.502887869	5.115990777	3.612630359	3.282056875	3.628615571	2.930501137	59.42964132	-0.313091305	0.250831087	-1.248215717	0.21195207	1	4.077169668	3.280391194	-0.313700125	0.644883871	FALSE	FALSE
gene-b3258	3407607	3409058	panF	12.5899249	17.26140866	14.55821791	12.51114656	11.84384058	13.85206715	268.4895297	-0.210531882	0.168790315	-1.247298359	0.212288119	1	14.80318382	12.73568476	-0.217030968	0.630373918	FALSE	FALSE
gene-b3960	4156850	4158223	argH	47.84293637	54.63624323	48.64881175	54.61800279	62.12419617	57.37319771	1175.972342	0.204452421	0.163970067	1.246888686	0.212438316	1	50.37599712	58.03846556	0.204272887	1.175238186	FALSE	TRUE
gene-b0638	669296	669907	cobC	25.94786266	29.33690956	36.17373833	36.23410762	35.48405824	35.16170409	298.0935079	0.23306074	0.186957976	1.246594261	0.212546307	1	30.48617018	35.62662332	0.224800828	0.784131087	FALSE	TRUE
gene-b2958	3100904	3101623	yggN	123.8708723	119.8284776	121.9988498	89.6128848	120.1227671	117.8977239	835.7797048	-0.158079898	0.126920819	-1.245500146	0.212947962	1	121.8993999	109.2111253	-0.158571194	0.5706045	FALSE	FALSE
gene-b0738	775849	776277	tolR	95.33908945	99.99360399	104.8736488	107.7617907	94.51132081	150.9863862	566.7330041	0.237582608	0.190925166	1.244375545	0.213361379	1	100.0687807	117.7531659	0.234773893	0.43917192	FALSE	TRUE
gene-b2478	2598882	2599760	dapA	290.8430206	239.3507982	247.9583714	247.8599927	226.3492156	221.9299517	3154.727512	-0.161588515	0.129910656	-1.243843424	0.213557195	1	259.3840634	232.0463867	-0.16067661	0.699201739	FALSE	FALSE
gene-b2027	2097321	2098301	wzzB	20.89337181	30.3394331	22.85829124	22.34934332	16.50666378	59.8548136	353.8815308	0.417192634	0.335694137	1.242776049	0.213950371	1	24.69703205	32.9036069	0.413908064	0.231950139	FALSE	TRUE
gene-b2572	2708754	2709404	rseA	695.0695766	775.740004	756.4833701	654.51766	694.9321372	644.4941764	7978.005318	-0.159529786	0.128546749	-1.241025444	0.21459635	1	742.4309836	664.6479912	-0.159666452	1.267286486	FALSE	FALSE
gene-b2947	3091878	3092828	gshB	106.5002621	101.1118113	121.8017292	110.0022793	102.4282627	83.46104218	864.5023982	-0.154697696	0.124657187	-1.240984971	0.214611301	1	109.8046009	98.63052806	-0.154832342	0.484247121	FALSE	FALSE
gene-b1292	1353628	1354518	sapC	12.84897686	13.38865671	15.22856629	16.73265987	16.06074733	16.14143707	169.1902925	0.244477454	0.197283657	1.239217976	0.215264785	1	13.82206662	16.31161476	0.23892627	1.530298413	FALSE	TRUE
gene-b0777	811522	812277	bioC	0.976995936	1.753276474	1.322480756	1.657196205	2.656664971	1.573400015	20.26782812	0.554791256	0.448073218	1.238170983	0.215652668	1	1.350917722	1.962420397	0.538694325	0.669935571	FALSE	TRUE
gene-b3865	4050133	4050765	yihA	86.0543577	75.95365918	67.46532162	89.65824171	92.41039127	83.02345829	700.400963	0.204622291	0.165274372	1.238076348	0.215687753	1	76.49111283	88.36403042	0.208167087	0.916091248	FALSE	TRUE
gene-b2075	2155263	2158385	mdtB	6.888243683	9.144413951	8.918169942	8.986110605	9.244734735	9.868272562	387.2103489	0.180396823	0.145934887	1.236145973	0.216404309	1	8.316942525	9.366372634	0.171437173	0.617398562	FALSE	TRUE
gene-b2363	2475873	2476178	yfdT	12.06877333	22.05190518	23.80465361	18.01469757	12.71683012	12.72182259	27.92141942	-0.399139947	0.323474433	-1.233914977	0.217234588	1	19.30844404	14.48445009	-0.414726997	0.522330548	FALSE	FALSE
gene-b2602	2741360	2741725	yfiL	116.290545	113.5840959	127.2183128	146.1647053	140.9611191	118.7717699	549.8894705	0.184985123	0.150034472	1.232950805	0.217594119	1	119.0309846	135.2991981	0.184816123	0.802033661	FALSE	TRUE
gene-b0318	335280	335885	yahD	8.988846274	13.52121767	11.54879235	10.1302271	7.664215406	9.635835918	71.2989218	-0.298492859	0.242167228	-1.232589818	0.217728838	1	11.3529521	9.143426141	-0.312260724	0.661644352	FALSE	FALSE
gene-b1487	1560931	1562481	ddpA	10.71482971	8.545951094	7.919536599	9.693155367	11.7353165	10.66713751	203.8889877	0.228980734	0.185945782	1.231438178	0.218159026	1	9.060105801	10.69853646	0.239813649	0.726856614	FALSE	TRUE
gene-b2730	2853254	2854264	hypE	171.8672109	149.6986899	184.3624508	173.2414227	149.2422935	127.9228965	1097.585842	-0.167984377	0.136481483	-1.230821747	0.21838954	1	168.6427839	150.1355376	-0.16770508	0.486498707	FALSE	FALSE
gene-b3871	4058407	4060230	bipA	114.3446798	96.38511585	107.2775508	109.4861561	86.02482175	88.09722647	3216.33826	-0.165779523	0.134908058	-1.228833358	0.219134292	1	106.0024488	94.53606811	-0.165160826	0.556103592	FALSE	FALSE
gene-b3321	3452959	3453270	rpsJ	485.895777	440.2808265	401.016857	328.4690356	262.3201211	428.7294986	4843.434569	-0.380438344	0.309668478	-1.228534292	0.219246465	1	442.3978202	339.8395518	-0.380490509	0.880739843	FALSE	FALSE
gene-b3234	3380743	3382110	degQ	32.19265886	23.60631578	27.14565763	29.21462468	35.14400718	29.24717254	428.8452793	0.168701061	0.137322369	1.228503866	0.219257879	1	27.64821076	31.2019348	0.174449372	0.48687689	FALSE	TRUE
gene-b0479	503476	504696	fsr	11.72035051	11.15173127	14.73899929	11.59467301	10.69193421	10.00762538	154.4736234	-0.213530807	0.17399202	-1.227244831	0.219730584	1	12.53702702	10.7647442	-0.219881237	0.667376571	FALSE	FALSE
gene-b4598	1517099	1517194	yncL	749.1879619	647.6762685	505.8488893	525.9319307	571.411276	560.9528646	386.2758596	-0.202143892	0.164812443	-1.226508678	0.220007312	1	634.2377066	552.7653571	-0.198356449	0.494257239	FALSE	FALSE
gene-b4018	4222804	4223628	iclR	10.63149214	11.10041357	12.2918575	9.111566045	9.737884695	8.126546063	174.5936201	-0.333239238	0.271704602	-1.22647624	0.220019511	1	11.3412544	8.991998934	-0.334866449	1.583390681	FALSE	FALSE
gene-b2935	3079644	3081635	tktA	61.08725946	47.06193489	44.8846782	46.16389574	46.44262473	36.69658262	2501.955504	-0.244957752	0.199759192	-1.226265228	0.220098882	1	51.01129085	43.10103436	-0.243094117	0.588368594	FALSE	FALSE
gene-b2010	2081381	2082547	dacD	8.227862948	9.602661242	7.71050477	8.695806926	12.26231865	8.988125725	210.6457372	0.224765729	0.183572261	1.224399203	0.22080167	1	8.51367632	9.982083767	0.229558769	0.503597369	FALSE	TRUE
gene-b4407	4192637	4192837	thiS	7.349342565	6.594413008	8.527040101	1.869910942	7.494174322	5.917862745	18.51057046	-0.539525982	0.440652576	-1.224379501	0.220809099	1	7.490265225	5.09398267	-0.556222753	0.608118259	FALSE	FALSE
gene-b4360	4599695	4600189	yjjA	78.89686274	124.3927924	108.4915122	111.1104859	122.2307402	122.1166465	534.7577171	0.19347305	0.158174861	1.223159279	0.221269542	1	103.9270558	118.4859575	0.189144801	0.453581675	FALSE	TRUE
gene-b2566	2702481	2703386	era	81.93178503	80.46494018	89.38568609	88.36257965	86.04031761	101.3322657	1084.249007	0.133830631	0.109431468	1.222962959	0.221343687	1	83.92747043	91.91172099	0.131105753	0.656969171	FALSE	TRUE
gene-b1816	1900029	1901585	yoaE	34.51111079	35.98685186	29.90488277	40.23250903	37.16643582	35.90626163	577.4517566	0.171875631	0.140717332	1.221424742	0.221925244	1	33.46761514	37.76840216	0.174414	0.896469336	FALSE	TRUE
gene-b0651	683477	684412	rihA	215.5262429	170.576636	194.862453	176.147209	169.5156611	170.7524115	1228.721521	-0.170530611	0.139660903	-1.221033281	0.222073419	1	193.6551106	172.1384272	-0.169920383	0.751811098	FALSE	FALSE
gene-b0032	29651	30799	carA	13.57973333	21.39388488	19.14316792	14.82909356	24.03484106	28.23380991	849.453502	0.315977696	0.259060146	1.21970786	0.222575641	1	18.03892871	22.36591484	0.310188108	0.398848056	FALSE	TRUE
gene-b0629	660425	661378	ybeF	20.61369256	27.02992959	24.85265723	26.79029639	29.21078325	30.60438452	480.6327437	0.260176809	0.213638915	1.217834353	0.223286927	1	24.16542646	28.86848805	0.256551095	1.008277572	FALSE	TRUE
gene-b3468	3605751	3606377	yhhN	83.63833153	65.91831463	78.36173056	72.33304624	65.86685988	64.32940751	534.809681	-0.172610377	0.141799432	-1.217285392	0.22349565	1	75.97279224	67.50977121	-0.170386516	0.661339637	FALSE	FALSE
gene-b1599	1672820	1673149	mdtI	14.26858156	27.38588873	22.93902985	23.91786087	30.05050355	29.81918112	207.9038339	0.386571047	0.317748918	1.216592802	0.223759183	1	21.53116671	27.92918185	0.375346815	0.668177734	FALSE	TRUE
gene-b3542	3703859	3704761	dppC	8.281744622	11.60943323	5.694136413	10.26690858	9.452784666	11.97513754	58.59148364	0.303608634	0.249831292	1.215254629	0.224268991	1	8.528438088	10.5649436	0.308931612	0.472970092	FALSE	TRUE
gene-b4386	4623101	4624117	lplA	12.43724473	11.96685246	12.49919865	10.22475393	10.36804648	11.48341508	151.622428	-0.199455194	0.164526646	-1.212297212	0.225398631	1	12.30109861	10.69207183	-0.202245734	1.690931493	FALSE	FALSE
gene-b0180	202101	202556	fabZ	194.3707705	148.7726394	173.5233961	158.8030069	139.016112	165.0489088	958.3188876	-0.159715508	0.131755989	-1.212206817	0.225433222	1	172.2222687	154.2893426	-0.158633286	0.512503283	FALSE	FALSE
gene-b4222	4447894	4448235	ytfP	5.669147472	0.704666143	0.417625502	2.197965493	0.367039239	1.264742596	9.901593188	-0.925015826	0.763741367	-1.211163709	0.225832668	1	2.263813039	1.276582443	-0.826468104	0.214939989	FALSE	FALSE
gene-b2370	2484374	2487967	evgS	20.01169848	22.39638402	29.16964232	26.42328801	18.23186232	41.76184275	1032.961491	0.274229553	0.226418396	1.211162863	0.225832993	1	23.85924161	28.80566436	0.271804346	0.266341115	FALSE	TRUE
gene-b0789	822498	823739	clsB	17.54344877	20.56808133	15.40977577	19.77107125	21.22444298	21.33107531	232.5779563	0.217912689	0.180001342	1.210617027	0.226042216	1	17.84043529	20.77552985	0.219734455	0.864721373	FALSE	TRUE
gene-b2282	2396465	2397442	nuoH	102.8048469	82.30327624	97.99339003	103.506645	70.5931298	66.89363256	786.7163459	-0.233304868	0.192801402	-1.210078694	0.226248698	1	94.36717106	80.33113579	-0.23232578	0.459751214	FALSE	FALSE
gene-b2303	2421325	2421687	folX	96.14124473	96.9294486	75.54534701	74.20404166	84.37655773	70.6008584	240.2452641	-0.232997185	0.192547525	-1.210076238	0.22624964	1	89.53868011	76.39381926	-0.229055132	0.742284935	FALSE	FALSE
gene-b1103	1161885	1162244	hinT	258.0002018	202.8381492	204.3232769	201.1504754	205.3768064	183.2295836	736.1793915	-0.176629239	0.146040018	-1.209457798	0.226487015	1	221.7205426	196.5856218	-0.173584636	0.57797007	FALSE	FALSE
gene-b1901	1985139	1986128	araF	21.6360191	11.5629308	12.407274	23.28511323	24.59830249	13.3257879	229.3002361	0.416904641	0.344957117	1.208569472	0.226828291	1	15.20207463	20.40306787	0.424517875	0.468738339	FALSE	TRUE
gene-b1850	1932115	1932756	eda	17.40102809	13.3260929	20.24507924	23.41757628	20.13913435	17.34884061	154.5122462	0.258208282	0.213676258	1.208408852	0.226890036	1	16.99073341	20.30185041	0.2568631	0.549629247	FALSE	TRUE
gene-b2085	2167989	2168306	yegR	0.580667396	3.410318219	3.593155262	2.363849682	3.552662827	4.760682037	22.63067351	0.612141535	0.506836427	1.207769414	0.22713597	1	2.528046959	3.559064849	0.493474958	0.359367557	FALSE	TRUE
gene-b4410	4376317	4376442	ecnA	29.30987809	30.60264392	22.67109868	22.86930763	41.8424733	39.47803675	99.25934638	0.327187948	0.271315944	1.205929673	0.227844608	1	27.52787356	34.72993923	0.335286715	0.485374203	FALSE	TRUE
gene-b4107	4325298	4325741	yjdN	79.017847	67.57653084	56.61647346	84.08703124	91.03565137	67.95000509	421.2980398	0.25305168	0.209856279	1.205833255	0.22788179	1	67.73695043	81.02422923	0.258410354	0.636638214	FALSE	TRUE
gene-b0042	43188	44129	fixB	2.352257732	2.814176252	3.487305943	3.590943624	2.531869403	4.821327668	49.62686343	0.37491445	0.311040138	1.205357138	0.22806546	1	2.884579976	3.648046898	0.338763014	0.443747204	FALSE	TRUE
gene-b0819	854824	855744	ldtB	87.3138404	105.1903583	113.2077989	111.272898	93.49816509	149.9337929	1486.711181	0.216760503	0.179915374	1.204791446	0.228283823	1	101.9039992	118.234952	0.21444591	0.373266321	FALSE	TRUE
gene-b1732	1813867	1816128	katE	34.28556031	39.79307652	27.71947729	32.78874784	33.90683181	50.57796221	1089.875301	0.204207948	0.169633052	1.203821692	0.228658504	1	33.93270471	39.09118062	0.204166728	0.313351452	FALSE	TRUE
gene-b0314	329463	331496	betT	16.93099373	16.8839255	15.86976908	13.61247361	15.18178235	15.63020385	347.1274813	-0.162005699	0.134635985	-1.203286764	0.228865369	1	16.56156277	14.80815327	-0.161447081	1.17298617	FALSE	FALSE
gene-b1379	1441321	1441743	hslJ	200.1490505	252.6752873	186.7230276	210.5838004	215.7409794	303.4440401	1031.20344	0.191205707	0.158923348	1.203131633	0.228925386	1	213.1824551	243.2562733	0.190388301	0.34371772	FALSE	TRUE
gene-b2957	3099682	3100728	ansB	1161.35143	1033.611971	1323.238625	1266.601233	972.5677462	682.8957717	11854.53888	-0.267883356	0.222834693	-1.202161803	0.229300845	1	1172.734009	974.0215836	-0.267850182	0.455232572	FALSE	FALSE
gene-b0494	519139	519765	tesA	137.3847946	117.807367	119.1371659	119.0897667	116.5182749	103.4789397	474.2231416	-0.145858122	0.12139667	-1.201500186	0.229557235	1	124.7764425	113.0289938	-0.142652688	0.670237932	FALSE	FALSE
gene-b1524	1612325	1613251	glsB	14.54111427	16.89830459	20.64610734	18.78584747	11.37465294	14.11477295	243.5154301	-0.22449526	0.186921952	-1.201010682	0.229747058	1	17.36184207	14.75842445	-0.23438131	0.392416502	FALSE	FALSE
gene-b3421	3556853	3558079	rtcB	655.16177	274.7784461	237.930132	478.2643938	447.683773	593.2029311	2882.227215	0.379025957	0.31565029	1.200778103	0.229837288	1	389.290116	506.3836993	0.379385249	0.345280605	FALSE	TRUE
gene-b0472	494405	495010	recR	41.74481151	36.58682429	39.83154912	30.18394197	35.83538555	37.29425383	342.9673293	-0.193717263	0.161450255	-1.199857278	0.230194774	1	39.38772831	34.43786045	-0.193750698	0.872829174	FALSE	FALSE
gene-b2713	2837578	2838105	hydN	34.27257335	29.89626187	34.89545814	31.55828865	26.38928714	25.39545645	729.1718636	-0.250732415	0.208971899	-1.19983795	0.230202282	1	33.02143112	27.78101075	-0.249303557	0.993109187	FALSE	FALSE
gene-b3567	3732201	3733742	xylG	11.01686468	14.30033567	13.8937667	11.61842849	10.58272671	12.06180585	217.4540352	-0.184284877	0.153714055	-1.19888111	0.230574178	1	13.07032235	11.42098702	-0.194607387	0.666202795	FALSE	FALSE
gene-b0805	839249	841531	fiu	3.841866411	4.908587678	5.380289647	6.036462393	6.268123464	4.40499376	317.6403634	0.249248559	0.208188615	1.197224731	0.231218973	1	4.710247912	5.569859872	0.241838038	0.506976011	FALSE	TRUE
gene-b0711	743593	744249	pxpB	88.67241884	85.10050295	92.3924912	102.9731779	106.0391447	86.08046013	575.2713101	0.148031723	0.123652234	1.19716173	0.231243523	1	88.72180433	98.36426091	0.148845525	0.667320395	FALSE	TRUE
gene-b2410	2526946	2527944	yfeH	29.2042569	27.98349872	35.17083957	34.98923448	31.53892132	36.04516399	377.1030201	0.157980847	0.132062763	1.196255805	0.23159675	1	30.7861984	34.1911066	0.151337388	0.583123644	FALSE	TRUE
gene-b0125	141431	141967	hpt	37.30869118	33.88302509	35.37451319	41.52804077	34.12849778	45.50953666	371.0666091	0.185868348	0.155447882	1.195695595	0.231815371	1	35.52207649	40.38869174	0.185235497	0.630054821	FALSE	TRUE
gene-b0110	118733	119284	ampD	103.1978506	110.8930045	119.5407605	123.4683225	134.8510145	111.4657517	660.5088594	0.149924007	0.125587953	1.193776975	0.232565221	1	111.2105385	123.2616962	0.148431042	0.66287325	FALSE	TRUE
gene-b0334	351215	352666	prpD	3.242859445	3.734439373	2.360792094	2.67479685	2.766444516	2.308677859	53.04173786	-0.290017175	0.24310201	-1.192985509	0.232875048	1	3.112696971	2.583306408	-0.26894636	0.550758389	FALSE	FALSE
gene-b0961	1023902	1024348	yccF	6.196383622	10.51324051	12.46149652	6.446382017	7.863015117	7.015501716	185.3728948	-0.431213268	0.361713487	-1.192140418	0.233206191	1	9.723706884	7.108299617	-0.452001912	0.619903095	FALSE	FALSE
gene-b3919	4110740	4111507	tpiA	619.234145	514.7833907	591.5828371	599.3405439	500.1483137	421.1370527	5015.840447	-0.182742853	0.153303995	-1.192029297	0.233249758	1	575.2001243	506.8753034	-0.182433114	0.494352751	FALSE	FALSE
gene-b2790	2922535	2922984	yqcA	141.361542	99.07605968	102.8361036	110.5283581	103.7693338	83.86508155	398.7600438	-0.208387202	0.174986706	-1.190874475	0.233702866	1	114.4245684	99.38759115	-0.203259207	0.406125278	FALSE	FALSE
gene-b3700	3880148	3881221	recF	61.55074398	80.55633118	82.85083353	82.23951895	79.00980992	87.09236551	792.2907636	0.147158018	0.123607883	1.190522924	0.233840926	1	74.98596956	82.78056479	0.14267141	0.472692927	FALSE	TRUE
gene-b0449	470636	472417	mdlB	12.43449373	14.0648515	16.35067117	12.58464755	13.38395611	25.54716168	764.9112388	0.272671751	0.229076839	1.19030694	0.233925774	1	14.2833388	17.17192178	0.26571825	0.26556323	FALSE	TRUE
gene-b0134	148807	149601	panB	2.322669584	1.515696986	0.179657763	2.363849682	2.052649634	1.904272815	28.44777863	0.555975588	0.467257607	1.189869527	0.234097677	1	1.339341444	2.106924044	0.653614504	0.528442709	FALSE	TRUE
